sal_code_2021,suburb,population_2021
SAL30600,Childers (Qld),1682
SAL20551,Chiltern,1580
SAL30602,Chinchilla,7068
SAL10904,Chinderah,1639
SAL10906,Chippendale,7803
SAL10907,Chipping Norton,9412
SAL20556,Chirnside Park,11779
SAL80037,Chisholm (ACT),5268
SAL10908,Chisholm (NSW),4577
SAL10909,Chiswick,2909
SAL10910,Chittaway Bay,1987
SAL50291,Chittering,1034
SAL40256,Christie Downs,5239
SAL40257,Christies Beach,5962
SAL90001,Christmas Island,1692
SAL10914,Church Point,1066
SAL30607,Churchill (Qld),1842
SAL20561,Churchill (Vic.),4924
SAL50293,Churchlands,3638
SAL30608,Chuwar,2178
SAL80038,City,4835
SAL50294,City Beach,6805
SAL40258,Clapham,1685
SAL40259,Clare (SA),3238
SAL60113,Claremont (Tas.),8397
SAL50296,Claremont (WA),9248
SAL10917,Claremont Meadows,5177
SAL40260,Clarence Gardens,2373
SAL40261,Clarence Park,2658
SAL10919,Clarence Town,2265
SAL60115,Clarendon Vale,1635
SAL20566,Clarinda,7441
SAL50297,Clarkson,13904
SAL30617,Clayfield,10897
SAL10923,Claymore,2579
SAL20569,Clayton,18988
SAL20570,Clayton South,13381
SAL30618,Clear Island Waters,4395
SAL40266,Clearview,4261
SAL10927,Clemton Park,1676
SAL30621,Clermont,2952
SAL30622,Cleveland (Qld),15850
SAL10931,Cliftleigh,2309
SAL30624,Clifton (Qld),1490
SAL30625,Clifton Beach (Qld),3192
SAL20574,Clifton Hill,6606
SAL20575,Clifton Springs,7646
SAL30626,Clinton (Qld),6170
SAL30628,Cloncurry,3167
SAL30629,Clontarf (Moreton Bay - Qld),8446
SAL10934,Clontarf (NSW),1746
SAL10937,Clovelly,4887
SAL40272,Clovelly Park,3126
SAL50301,Cloverdale,8864
SAL20580,Clunes (Vic.),1844
SAL20581,Clyde (Vic.),11177
SAL20582,Clyde North,31681
SAL10942,Coal Point,1749
SAL10948,Cobar,3603
SAL10953,Cobbitty,4206
SAL20590,Cobblebank,3601
SAL20591,Cobden,1804
SAL20592,Cobram,6148
SAL20596,Coburg,26574
SAL20597,Coburg North,8327
SAL20600,Cockatoo (Vic.),4408
SAL50304,Cockburn Central,1521
SAL70059,Coconut Grove,2892
SAL30644,Coes Creek,1515
SAL10959,Coffs Harbour,27089
SAL20604,Cohuna,2415
SAL20607,Colac,9243
SAL20613,Coldstream (Vic.),2199
SAL10964,Coleambally,1152
SAL10965,Colebee,4914
SAL10966,Coledale,1372
SAL20614,Coleraine,1062
SAL10970,Collaroy (NSW),7944
SAL10971,Collaroy Plateau,4805
SAL50309,College Grove,1821
SAL50310,Collie (WA),7599
SAL20616,Collingwood (Vic.),9179
SAL30651,Collingwood Park (Qld),9246
SAL30652,Collinsville (Qld),1496
SAL40285,Collinswood,1496
SAL10985,Colo Vale,1775
SAL40286,Colonel Light Gardens,3311
SAL10987,Colyton,8770
SAL10996,Como (NSW),4053
SAL50316,Como (WA),14786
SAL10999,Concord,14551
SAL11000,Concord West,6178
SAL11001,Condell Park,13066
SAL80039,Conder,5108
SAL11002,Condobolin,3185
SAL30664,Condon,5894
SAL11010,Coniston,2267
SAL11013,Connells Point,2884
SAL50318,Connolly,3675
SAL11014,Constitution Hill,4030
SAL40295,Coober Pedy,1566
SAL50320,Coodanup,4366
SAL11015,Coogee (NSW),14634
SAL50321,Coogee (WA),5345
SAL80040,Cook,2965
SAL11019,Cooks Hill,3774
SAL30675,Cooktown,2746
SAL11024,Coolah,1262
